timestamp	follow	status	friend	text
1476759966094	2931	94730	1541	"""WATCH 5 Minute Interview of PRESIDENTIAL CANDIDATE EVAN MCMULLIN =&gt; #NeverTrump  #VoteYourConscience #college #ESPN  https://t.co/cmldUvcCEQ"""
1476759980389	1236	23086	1017	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476759987217	2931	94731	1541	"""WATCH 5 Minute Interview of PRESIDENTIAL CANDIDATE EVAN MCMULLIN =&gt; #NeverTrump  #FeeltheBern #BernieSanders #women  https://t.co/cmldUvcCEQ"""
1476759994537	1	13	62	"""RT @dcexaminer: POLL: Hillary Clinton, Donald Trump, and independent Evan McMullin in a dead heat in Utah https://t.co/kMdRNlhR9C https://t"""
1476759994951	4751	28893	895	"""LOL https://t.co/vkPtYTqlSa"""
1476760002365	1	14	62	"""RT @TheRickWilson: Evan McMullin Surges to Second Place in Utah https://t.co/EEo2qA4YFc"""
1476760013451	267	958	301	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476760014811	304	20710	51	"""RT @mckaycoppins: Here it is. New poll has Utah a statistical dead heat: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/8bWmi"""
1476760015269	631	5005	1156	"""RT @McMullin4_Pres: New #utpol results are incredibly promising. This state is ours! #McMullinFinn #EvanUT #Utah https://t.co/BhyE9XKtPQ"""
1476760015905	4395	41117	4987	"""RT @bestnaunieever: #McMullinFinn has inspired them a New Generation of Leaders out with the old and in with the new #Election2016 https://"""
1476760018927	2931	94732	1541	"""WATCH 5 Minute Interview of PRESIDENTIAL CANDIDATE EVAN MCMULLIN =&gt; #NeverTrump  #college #BLM #SportsCenter #NLCS  https://t.co/cmldUvcCEQ"""
1476760021721	953	2215	1029	"""You can now vote for Evan McMullin in 42 states! https://t.co/DobYdqxJL3"""
1476760214616	15	252	44	"""RT @ericmetaxas: So let me put it another way. I think voting for Evan McMullin might feel good, but it will elect Hillary, which will feed"""
1476760215171	290	1318	575	"""RT @LibertyShines1: .@Evan_McMullin is tied 4 1st in Utah! Let's hope it catches fire and spreads! Evan McMullin for President https://t.co"""
